Time [s], Thrust [N]
0.0, 0.233
0.094, 0.7
0.188, 1.431
0.283, 2.343
0.377, 3.371
0.471, 4.49
0.564, 5.671
0.658, 6.894
0.753, 8.162
0.847, 9.502
0.941, 10.898
1.034, 12.306
1.128, 13.762
1.223, 15.275
1.317, 16.855
1.411, 18.445
1.505, 19.895
1.598, 21.103
1.693, 22.102
1.787, 22.962
1.881, 23.737
1.975, 24.404
2.069, 24.621
2.163, 24.621
2.257, 24.292
2.351, 23.641
2.445, 22.763
2.539, 21.713
2.634, 20.597
2.727, 19.532
2.821, 18.634
2.915, 17.821
3.009, 16.979
3.104, 16.12
3.197, 15.229
3.291, 14.267
3.385, 13.236
3.48, 12.156
3.574, 11.112
3.668, 10.47
3.761, 10.325
3.855, 10.325
3.95, 10.496
4.044, 10.888
4.138, 11.429
4.232, 11.996
4.325, 12.409
4.42, 12.554
4.514, 12.554
4.608, 12.509
4.702, 12.395
4.796, 12.251
4.89, 12.127
4.984, 12.059
5.078, 12.034
5.172, 12.017
5.266, 11.973
5.36, 11.887
5.454, 11.777
5.548, 11.623
5.642, 11.367
5.736, 11.046
5.831, 10.733
5.924, 10.51
6.018, 10.288
6.112, 10.092
6.206, 9.698
6.301, 9.15
6.395, 8.541
6.488, 7.898
6.582, 7.238
6.676, 6.538
6.771, 5.831
6.865, 5.133
6.958, 4.464
7.052, 3.83
7.146, 3.233
7.241, 2.652
7.335, 2.086
7.429, 1.547
7.522, 1.001
7.616, 0.474
